,address,decade,location,point
0,"S. 9th,Brooklyn,NY,United States",1850,,
8,"East 123d street,New York,NY,United States",1860,,
21,"West 23d street,New York,NY,United States",1850,,
23,"West 43d street,New York,NY,United States",1870,,
53,"Wash'n,B'klyn.,NY,United States",1840,,
72,"New Church st.,New York,NY,United States",1840,,
73,"82d st & Bd'way,New York,NY,United States",1860,,
76,"M'dson av.&49th st. ,New York,NY,United States",1870,,
79,"3d ave.,New York,NY,United States",1860,,
110,"Parkville,Long Island,NY,United States",1860,,
111,"S. P'tl'nd,Brooklyn,NY,United States",1850,,
145,"East 33d street,New York,NY,United States",1870,,
159,"Mt. Vern'n,Philidelphia,PA,United States",1850,,
167,"Frankin st.,New York,NY,United States",1870,,
171,"N. 22d st.,Philidelphia,PA,United States",1840,,
175,"Scherm'rhorn,Brooklyn,NY,United States",1870,,
185,"East 73d street,New York ,NY,United States",1860,,
186,"St. Luke's place,New York,NY,United States",1850,,
192,"West 59d street,New York ,NY,United States",1850,,
204,"Nost'nd,Brooklyn,NY,United States",1860,,
211,"East 53d street,New York,NY,United States",1870,,
230,"Mariden Lane,New York,NY,United States",1860,,
241,"Madis'n av. & 58th st.,New York,NY,United States",1860,,
244,"East 82d street,New York,NY,United States",1870,,
245,"2d avenue,New York,NY,United States",1850,,
252,"West 23d street,New York,NY,United States",1870,,
270,"3d ave.,New York,NY,United States",1860,,
280,"cor. 8th st. & 5th ave.,New York,NY,United States",1860,,
289,"Sussex Place,Jersey City (J.C.),NJ,United States",1840,,
292,"West 43d street,New York,NY,United States",1870,,
297,"East 62d street,New York,NY,United States",1860,,
300,"East 42d street,New York,NY,United States",1840,,
304,"East 83d street,New York,NY,United States",1870,,
306,"3d ave.,New York,NY,United States",1860,,
314,"West 23d street,New York ,NY,United States",1850,,
315,"Richmond Hill,Long Island,NY,United States",1870,,
331,"Burling slip,New York,NY,United States",1850,,
341,"West 33d street,New York,NY,United States",1860,,
344,"Bushwick,Long Island???,NY,United States",1840,,
355,"East 92d street,New York,NY,United States",1860,,
359,"Carney ave.,Jersey City,NJ,United States",1870,,
362,"West 22d street ,New York,NY,United States",1860,,
366,"Sea Cliff,Long Island,NY,United States",1850,,
367,"West 42d street,New York,NY,United States",1860,,
368,"Prospect P'k,Brooklyn,NY,United States",1860,,
371,"East 73d street,New York,NY,United States",1870,,
402,"86th st. cor. 2d ave. ,New York,NY,United States",1860,,
405,"Bushwick,Long Island,NY,United States",1840,,
411,"10th ave. (near 23d st.),New York,NY,United States",1850,,
418,"Huntington,Long Island,NY,United States",1860,,
453,"Sea Cliff,Long Island,NY,United States",1850,,
470,"104 St. & 10th Avenue,New York,NY,United States",1880,,
475,"Maiden Ave???,New York,NY,United States",1870,,
479,"Weast 2nd??? St.,New York,NY,United States",1880,,
490,"49th st. & 4th ave.,New York,NY,United States",1870,,
495,"3d ave. & 9th st.,New York,NY,United States",1860,,
